family,lambda,sigma_ee_11,sigma_ee_22,trace_sigma_ee,lam_sq_trace_sigma,trace_R,lam6_trace_R,trace_S,norm_rho,logdet_term,trace_rho,trace_anomaly,lam4_trace_anomaly
canonical,1.0,0.5,0.25,0.75,0.75,0.02313345776948203445216043514387262333535903179848962284993414718317101469502254,0.02313345776948203445216043514387262333535903179848962284993414718317101469502254,0.7268665422305179655478395648561273766646409682015103771500658528168289853049812,0.0487867475501633221024901664871707082846633795382652578997138808648119948818213,0.04978524989763926604236982669112626550930864627409544496092741738685757640484792,0.0487867475501633221024901664871707082846633795382652578997138808648119948818213,0.0009985023474759439398796602039555572246452667358301870612135365220455815230266187,0.0009985023474759439398796602039555572246452667358301870612135365220455815230266187
canonical,2.0,0.125,0.0625,0.1875,0.75,0.0009669081578748773647173431254966001875477393782521446204169331958560063544338864,0.06188212210399215134190996003178241200305532020813725570668372453478440668376873,0.1865330918421251226352826568745033998124522606217478553795830668041439936455653,0.008074862274545317285217496222921611238629167162940299086483454197470712186790376,0.008102576575702286447925384872876705400168201956996197062449250614535386676326753,0.008074862274545317285217496222921611238629167162940299086483454197470712186790376,2.771430115696916270788864995509416153903479405589797596579641706467448953637736e-05,0.0004434288185115066033262183992815065846245567048943676154527426730347918325820378
canonical,4.0,0.03125,0.015625,0.046875,0.75,3.090743134030329433111339414129709773513615002652837585974908499173291822226265e-05,0.1265968387698822935802404624027529123231176705086602275215322521261380330383878,0.04684409256865969670566888660585870290226486384997347162414025091500826708177787,0.001023816980871872714541178349514489153095985581710208229520981925159525790392842,0.00102427499478790020308282958622227949096365527277950474740684038031138316385313,0.001023816980871872714541178349514489153095985581710208229520981925159525790392842,4.580139160274885416512367077903378676696910692965178858584551518573734602879726e-07,0.000117251562503037066662716597194326494123440913739908578779764518875487605833721
canonical,8.0,0.0078125,0.00390625,0.01171875,0.75,7.791534280016116448620486719795512271687381357951817996898918826416849345088694e-07,0.2042503962300544830307168870674074768949216898698921376979070176832218554718931,0.01171797084657199838835513795132802044877283126186420481820031010811735831506555,0.0001026520656479563414336653319366978595482290071686364222765169274077291982706658,0.0001026567692136590932934356335713849976586772462647896179888455743667329358371625,0.0001026520656479563414336653319366978595482290071686364222765169274077291982706658,4.703565702751859770301634687138110448239096153195712328646959003737566496693696e-09,1.926580511847161761915549567851770039598733784348963769813794407930907237045738e-05
canonical,16.0,0.001953125,0.0009765625,0.0029296875,0.75,1.62700199036355486420531627237053525018835432498743717121480999290458704880833e-08,0.2729656382475927848462325944987530192802406119484843070789984964991872430865989,0.00292967122998009636445135794683727629464749811645675012562828785190007095412951,8.545480394237245560259437612746439678839862091200989242163483813593338666657761e-06,8.545513413838183983473456916777436836998042946762139231369933713055337540053427e-06,8.545480394237245560259437612746439678839862091200989242163483813593338666657761e-06,3.301960093842321401930403099715815818085556114998920644989946199887339566608449e-11,2.163972567100503753969108975429757054540550055525692633900611141558166858372513e-06
canonical,32.0,0.00048828125,0.000244140625,0.000732421875,0.75,2.991089189090308593188881386963306207996421437280531703968457385057893901046416e-10,0.3211657561640508849573503476957630228844600939538299711508919471098333342908054,0.0007324215758910810909691406811118613036693792003578562719468296031542614942106145,6.272592864004047483785237618404259220776915709912093825541621057543418991511892e-07,6.272594655684601991712672570212799457967293230002452780119723908983772421879702e-07,6.272592864004047483785237618404259220776915709912093825541621057543418991511892e-07,1.791680554507927434951808540237190377520090358954578102851440353430367810247455e-13,1.878713229123704518032027591887752137298506268231155688775551920038601356998035e-07
canonical,64.0,0.0001220703125,6.103515625e-05,0.00018310546875,0.75,5.09644268428938011967902192314773223528035714181363361146154294808712666116207e-12,0.3502248744793814498261434428349845652335057810446334478104591635797381562928122,0.0001831054636535573157106198803209780768522677647196428581863663885384570519128729,4.271034492113489095762255229678193265324885756011697239858839199233703649987411e-08,4.271034575488196437059879424586339097238082419622258468437181164573457825624075e-08,4.271034492113489095762255229678193265324885756011697239858839199233703649987411e-08,8.337470734129762419490814583191319666361056122857834196533975417563666318731994e-16,1.398795474001735961404800062781507393675873725613084216074369569191558235812915e-08
canonical,128.0,3.0517578125e-05,1.52587890625e-05,4.57763671875e-05,0.75,8.327884108940379400320598872620433889524006119942469070998328805228455133396413e-14,0.3662642165020367947592608161079217497787973969106612025490362807204963185309789,4.577636710422115891059620599679401127379566110475993880057530929001671194771551e-05,2.790297449834289548605248686056276941957232021090793306261983655373526060571699e-09,2.790297453399517408622170070401368484713664157047795950820411749719771251167962e-09,2.790297449834289548605248686056276941957232021090793306261983655373526060571699e-09,3.565227860016921384345091542756432135957002644558428094346245190596263547459761e-18,9.570335663475464595228259096415663573486720012852475641490453496255149172585387e-10
canonical,256.0,7.62939453125e-06,3.814697265625e-06,1.1444091796875e-05,0.75,1.331210814278298376103759032099886369446656567859738553038184270239314479259604e-15,0.3747025329459574451664029578384917241587016384840454504716280056970924380572398,1.144409179554378918572170162389624096790011363055334343214026144696181572976069e-05,1.783678392668457101130074467352517683784786863885462175160950582702533178957277e-10,1.783678392814282370109095447183554108165018686089066195038377095605486100734766e-10,1.783678392668457101130074467352517683784786863885462175160950582702533178957277e-10,1.458252689790209798310364243802318222036040198774265129029529217774892225204179e-20,6.263147611952984184721770484978727452629659187076808015615048208619623997176615e-11
canonical,512.0,1.9073486328125e-06,9.5367431640625e-07,2.86102294921875e-06,0.75,2.104050656911944278904594461095842510705846233565997917825426543477028296113931e-17,0.3790320701774911831401105316453815588769503148421462523501054238752677260039684,2.86102294919770949343088055721095405538904157489294153766434002082174573456522e-06,1.127541612651410865527305833331430749267335730654980125089043784826670046751409e-11,1.127541612657240920185931028667032858716495839506680167879752272721005649645211e-11,1.127541612651410865527305833331430749267335730654980125089043784826670046751409e-11,5.830054658625195335602109449160108851700042790708487894335602893802085331458513e-23,4.006383054830025326083648728440838749736287646062964508125330892371666815234502e-12
